Probability for q[ 0]==1 : 0.499480    
Probability for q[ 1]==1 : 0.492023    
Probability for q[ 2]==1 : 0.501676    
Probability for q[ 3]==1 : 0.508258    
Probability for q[ 4]==1 : 0.501390    
Probability for q[ 5]==1 : 0.491284    
Probability for q[ 6]==1 : 0.500285    
Probability for q[ 7]==1 : 0.362152    
Probability for q[ 8]==1 : 0.500013    
Probability for q[ 9]==1 : 0.499997    
Probability for q[10]==1 : 0.501520    
Probability for q[11]==1 : 0.503341    
Probability for q[12]==1 : 0.500379    
Probability for q[13]==1 : 0.494874    
Probability for q[14]==1 : 0.586038    
Probability for q[15]==1 : 0.499994    
Probability for q[16]==1 : 0.506480    
Probability for q[17]==1 : 0.500005    
Probability for q[18]==1 : 0.499939    
Probability for q[19]==1 : 0.498993    
Probability for q[20]==1 : 0.499996    
Probability for q[21]==1 : 0.499365    
Probability for q[22]==1 : 0.367763    
Probability for q[23]==1 : 0.499312    
Probability for q[24]==1 : 0.508996    
Probability for q[25]==1 : 0.499890    
Probability for q[26]==1 : 0.500017    
Probability for q[27]==1 : 0.489885    
Probability for q[28]==1 : 0.496105    
Probability for q[29]==1 : 0.492576    

